Dataset,Method,Quality,BPP,PSNR,MSSSIM,LPIPS,CR,OrigSize(KB),CompSize(KB)
Kodak,Balle2018,1,0.13130018446180555,27.581681202291644,0.9173784628510475,0.45412880678971607,208.49061920783416,1152.0,6.302408854166667
Kodak,Balle2018,2,0.20889621310763887,29.269210027156817,0.9452791243791581,0.375956392288208,134.82187494032752,1152.0,10.027018229166666
Kodak,Balle2018,3,0.3198513454861111,30.91246736354025,0.9633695781230927,0.3292240798473358,89.2420781214758,1152.0,15.352864583333334
Kodak,Balle2018,4,0.4784138997395833,32.420548285776874,0.9715700257908214,0.29139375347982754,59.87713559641455,1152.0,22.9638671875
Kodak,Balle2018,5,0.6686943901909722,34.61850909011041,0.9836394968240157,0.2208779979011287,42.10438276957438,1152.0,32.097330729166664
Kodak,Balle2018,6,0.9387953016493055,36.64293921393043,0.9888733476400375,0.18295514062047005,30.124944005981277,1152.0,45.062174479166664
Kodak,Cheng2020,1,0.11959160698784722,28.576275785155108,0.9235364869236946,0.43415114656090736,257.12797697915744,1152.0,5.740397135416667
Kodak,Cheng2020,2,0.18377685546875,29.970093834913985,0.9465567072232565,0.38132036849856377,168.44334043378538,1152.0,8.8212890625
Kodak,Cheng2020,3,0.2708977593315972,31.340509267769193,0.9628218213717142,0.33310867473483086,113.36710288844473,1152.0,13.003092447916666
Kodak,Cheng2020,4,0.41736518012152773,33.38885513756494,0.9757560367385546,0.2773351411645611,73.88762510530094,1152.0,20.033528645833332
Kodak,Cheng2020,5,0.59429931640625,35.118636667516064,0.9841263443231583,0.22833042902251086,50.735744893371354,1152.0,28.5263671875
Kodak,Cheng2020,6,0.8056979709201388,36.70908670015418,0.9893122067054113,0.188611574160556,36.44315457779776,1152.0,38.673502604166664
Kodak,JPEG,10,0.32672203911675346,26.649062387597635,0.8912140900890032,0.5086928841968378,78.0670273377035,1152.0,15.682657877604166
Kodak,JPEG,20,0.5086839463975694,29.076905416456814,0.9435251454512278,0.3738781164089839,50.957631150653356,1152.0,24.416829427083332
Kodak,JPEG,30,0.6602283053927952,30.392321372064476,0.9610319584608078,0.30219002316395444,39.405616381701016,1152.0,31.690958658854168
Kodak,JPEG,40,0.7862777709960938,31.303786323427087,0.9697085022926331,0.25836570623020333,33.121753761819974,1152.0,37.7413330078125
Kodak,JPEG,50,0.9063084920247396,32.07732359737257,0.9756319696704546,0.22600658113757768,28.72446283061892,1152.0,43.5028076171875
Kodak,JPEG,60,1.0377833048502605,32.796386845037226,0.9793054312467575,0.20109346633156142,25.07009132855185,1152.0,49.8135986328125
Kodak,JPEG,70,1.2398461235894098,33.79259401734574,0.9837062408526739,0.1698244409635663,20.938494259726873,1152.0,59.512613932291664
Kodak,JPEG,80,1.5734007093641493,35.24484419107352,0.9882522448897362,0.1316139337917169,16.429152007029582,1152.0,75.52323404947917
Kodak,JPEG,90,2.3501993815104165,37.9121245318318,0.992980015774568,0.08030920522287488,10.868706110825729,1152.0,112.8095703125
Kodak,Proposed,lambda_0.0005,0.007570927128350983,26.32577323306586,0.9036317219336828,0.43622932583093643,6433.814636531923,1152.0,0.3634045021608472
Kodak,Proposed,lambda_0.0018,0.05816988176148799,28.775213520728773,0.9351238707701365,0.37300872678558034,700.7319027331256,1152.0,2.7921543245514235
Kodak,Proposed,lambda_0.013,0.41502129203743404,32.17199400326603,0.9684231653809547,0.24915530035893121,74.67610725507,1152.0,19.921022017796833
Kodak,Proposed,lambda_0.019,0.49250274648269016,33.18944277349022,0.9751637329657873,0.23383825023969015,63.768202153628955,1152.0,23.64013183116913
Tecnick,Balle2018,1,0.11731238095238096,29.409570787927013,0.9476578729493278,0.3819229960441589,234.34807720363278,4218.75,20.621316964285715
Tecnick,Balle2018,2,0.1708311111111111,31.05404628897345,0.9619103619030543,0.3396773214851107,167.93455353923122,4218.75,30.02890625
Tecnick,Balle2018,3,0.24464317460317458,32.66684185005794,0.9721604841096061,0.3048948275191443,121.02444148938336,4218.75,43.00368303571429
Tecnick,Balle2018,4,0.3485777777777778,34.380037493307064,0.9804819107055665,0.27730374889714376,86.78959059194585,4218.75,61.2734375
Tecnick,Balle2018,5,0.4828450793650794,35.86980044010276,0.9861509340150015,0.24002982931477682,62.48530619921921,4218.75,84.87511160714286
Tecnick,Balle2018,6,0.6758514285714285,37.693296492558304,0.990097028868539,0.21301681527069638,45.50965164538293,4218.75,118.80200892857142
Tecnick,Cheng2020,1,0.097624126984127,30.39946232991547,0.9522873674120221,0.37929316673960006,352.40336561562077,4218.75,17.16049107142857
Tecnick,Cheng2020,2,0.14214857142857143,31.82470650343591,0.9652510574885778,0.3453834780624935,252.64401680910197,4218.75,24.98705357142857
Tecnick,Cheng2020,3,0.19947428571428572,33.141709491138165,0.9740555950573513,0.3149519728762763,181.09796207868098,4218.75,35.06383928571429
Tecnick,Cheng2020,4,0.2919333333333333,34.86544194424746,0.9809010011809213,0.2820499428680965,127.00998079470205,4218.75,51.31640625
Tecnick,Cheng2020,5,0.40810031746031744,36.33175809907026,0.9861561860357012,0.24942496929849897,87.26841421798628,4218.75,71.73638392857143
Tecnick,Cheng2020,6,0.5573473015873016,37.684844947367644,0.9898523041180202,0.2201401384813445,62.24037257211948,4218.75,97.97120535714286
Tecnick,JPEG,10,0.2837322222222222,27.981149790913385,0.9164259842463902,0.4483574177537646,90.12876405416532,4218.75,49.8748046875
Tecnick,JPEG,20,0.41706095238095237,30.57183808311579,0.953849366733006,0.35259348154067993,63.815821668390946,4218.75,73.31149553571429
Tecnick,JPEG,30,0.5289011111111112,31.89917580419651,0.9673914739063808,0.2970467661108289,51.22032191221577,4218.75,92.9708984375
Tecnick,JPEG,40,0.6239755555555555,32.77284057494558,0.9742750406265259,0.25855922528675623,43.8150899454294,4218.75,109.683203125
Tecnick,JPEG,50,0.7161993650793651,33.48805370960416,0.9787211111613683,0.2284815856388637,38.35210898467923,4218.75,125.89441964285714
Tecnick,JPEG,60,0.8171890476190475,34.11849152631252,0.9815510869026184,0.20630528373377663,33.70036719011085,4218.75,143.64651227678573
Tecnick,JPEG,70,0.9760001587301588,34.98276199323187,0.9850171804428101,0.17850862549883978,28.17369482469036,4218.75,171.56252790178573
Tecnick,JPEG,80,1.2443411111111111,36.20733298049855,0.9886604189872742,0.14389540553092955,21.920967980242057,4218.75,218.7318359375
Tecnick,JPEG,90,1.903539365079365,38.41206075904152,0.9927267874990191,0.09232317177312714,13.970288002189085,4218.75,334.60652901785716
Tecnick,Proposed,lambda_0.0005,0.00894291298919254,28.43976224610158,0.9387454748153686,0.3707672459738595,37508.46079205321,4218.75,1.571996423881501
Tecnick,Proposed,lambda_0.0018,0.04481960730658637,30.652707246377258,0.9598193321909223,0.3158566632441112,1840.243193073306,4218.75,7.878446596860885
Tecnick,Proposed,lambda_0.013,0.29641208333333335,33.46374980618749,0.976021272795541,0.256899442417281,120.06672858868839,4218.75,52.1036865234375
Tecnick,Proposed,lambda_0.019,0.3395220837983631,34.780025713883035,0.9814071774482727,0.22701286843844823,112.61833838273301,4218.75,59.681616292681014
